M:\Dors\015 Christchurch\StormPac\Outputs\Christchurch.csv
SRG Generated Data, Duration 10 years

StartTime,EndTime,Depth (mm),MeanIntensity (mm/hr),MaxIntensity (mm/hr),Duration (hours),UCWI (mm),API30 (mm), AntecDryPeriod (hours)
24/01/2104 13:00:00,25/01/2104 08:00:00,5.8,0.3,2,20,126,0,155
31/01/2104 10:00:00,03/02/2104 13:00:00,20.4,0.3,3,76,126,0.1,145
05/02/2104 13:00:00,07/02/2104 19:00:00,5.7,0.1,1.1,55,138,1.2,47
09/02/2104 09:00:00,11/02/2104 10:00:00,8.8,0.2,3.6,50,133,0.7,37
13/02/2104 15:00:00,17/02/2104,36.6,0.4,3.5,82,146,0.6,52
23/02/2104 16:00:00,26/02/2104 18:00:00,11.9,0.2,2.3,75,123,0.1,159
04/03/2104 10:00:00,05/03/2104 11:00:00,1.8,0.1,0.9,26,122,0.1,159
07/03/2104 14:00:00,08/03/2104 21:00:00,5.8,0.2,1.3,32,125,0,50
11/03/2104 11:00:00,13/03/2104 03:00:00,15.1,0.4,3.5,41,139,0.5,61
15/03/2104 04:00:00,17/03/2104 22:00:00,8.6,0.1,2.3,67,141,3.3,48
21/03/2104 10:00:00,21/03/2104 18:00:00,0.5,0.1,0.2,9,127,0.4,83
25/03/2104 22:00:00,26/03/2104 07:00:00,5.2,0.5,2.1,10,123,0,99
29/03/2104 16:00:00,31/03/2104 22:00:00,7,0.1,2.1,55,122,0.4,80
02/04/2104 16:00:00,06/04/2104 14:00:00,9.6,0.1,2.2,95,128,0.4,41
08/04/2104 18:00:00,10/04/2104 12:00:00,4.8,0.1,1.6,43,127,0.5,51
15/04/2104 07:00:00,16/04/2104 01:00:00,2,0.1,0.7,19,119,0.1,114
18/04/2104 13:00:00,27/04/2104 03:00:00,37.1,0.2,3.9,207,116,0,59
02/05/2104 03:00:00,03/05/2104 11:00:00,5.1,0.2,0.8,33,116,0.1,119
05/05/2104 16:00:00,06/05/2104 16:00:00,2.9,0.1,0.8,25,118,0.1,52
15/05/2104 20:00:00,16/05/2104 20:00:00,12.1,0.5,4.3,25,110,0,219
21/05/2104 14:00:00,21/05/2104 14:00:00,0.2,0.2,0.2,1,94,0.2,113
24/05/2104 23:00:00,26/05/2104 05:00:00,22.7,0.7,7.1,31,99,0,80
28/05/2104 22:00:00,29/05/2104 10:00:00,3.7,0.3,2,13,107,1.5,64
31/05/2104 05:00:00,31/05/2104 05:00:00,0.1,0.1,0.1,1,102,0.4,42
